,subjectID,tractID,GM_R1,R1
322,62,IFOFL,0.45687037004141684,0.46534695347654254
323,62,IFOFR,0.461565329538436,0.4657798044649636
324,62,ILFL,0.4617693267556145,0.4491333899555782
325,62,ILFR,0.46440911528523604,0.45105003380775816
326,62,MLFL,0.4542518650542935,0.45336540455067886
327,62,MLFR,0.4524253985700073,0.4509337815285353
328,62,ORL,0.4761443645065411,0.4912766873300062
329,62,ORR,0.4910983675152515,0.4738836567210446
330,62,SLFL,0.4684501731430983,0.46755783195515344
331,62,SLFR,0.4600991427084542,0.4624908215492605
332,62,UNCL,0.45677540982663295,0.4824584527596041
333,62,UNCR,0.46109772660545034,0.47455991049568746
334,62,VOFL,0.4659517110986212,0.44888824521591214
335,62,VOFR,0.468531235437101,0.4510056575465243
336,62,pAFL,0.45683537013671016,0.4342985010370622
337,62,pAFR,0.4572227306154509,0.43359903755517093
338,63,AFL,0.4435066233762959,0.4408970749629103
339,63,AFR,0.4533760017396851,0.4593119691755131
340,63,ATRL,0.4412188076303709,0.5012714305447914
341,63,ATRR,0.44076913942744506,0.503125929005889
342,63,CCL,0.4490512032574288,0.4386431450322878
343,63,CCR,0.4522585324066593,0.43822184228516925
344,63,CSL,0.4813285284329174,0.5489790328023648
345,63,CSR,0.4789299866721646,0.5587175321978451
346,63,FcMa,0.44435816359871827,0.49412970425290204
347,63,FcMi,0.43398289020270553,0.421560684706161
348,63,IFOFL,0.44757126352585086,0.4630101015168288
349,63,IFOFR,0.4443432796868469,0.46436249603394086
350,63,ILFL,0.4550364219376072,0.4395721667452962
351,63,ILFR,0.4463944844622075,0.44552814168627
352,63,MLFL,0.44648187039631504,0.43915948987941145
353,63,MLFR,0.4448436862970152,0.4490997156110728
354,63,ORL,0.4629265807188203,0.4788793178966694
355,63,ORR,0.4699515705454238,0.4693635972707808
356,63,SLFL,0.45519377387716625,0.4663417825579988
357,63,SLFR,0.4551476236389097,0.46273088949027225
358,63,UNCL,0.4354684132273568,0.4557511864929448
359,63,UNCR,0.43975998214958845,0.4593366192352394
360,63,VOFL,0.4591615338828063,0.46499528142749413
361,63,VOFR,0.45291647738774343,0.44026356462588945
362,63,pAFL,0.44531524641460746,0.4130464123865582
363,63,pAFR,0.4536727903324051,0.42909911960830716
364,64,AFL,0.43513924224062506,0.42082724007641975
365,64,AFR,0.4419499170758623,0.43433009649579774
366,64,ATRL,0.4167207949152308,0.494902467313232
367,64,ATRR,0.41585531857458186,0.4752438060892507
368,64,CCL,0.41767268923038114,0.39425972760609906
369,64,CCR,0.44053673019698,0.4290298054148537
370,64,CSL,0.4658689016927657,0.5029300150048137
371,64,CSR,0.4602918644743364,0.5304553209106189
372,64,FcMa,0.4410568242721225,0.42909666594046364
373,64,FcMi,0.4098563178347791,0.37672123623830234
374,64,IFOFL,0.42883534896510256,0.4489754530503735
375,64,IFOFR,0.4305922034134403,0.455094681449068
376,64,ILFL,0.43768444227496095,0.426142948814963
377,64,ILFR,0.4408727832715457,0.4334341678809481
378,64,MLFL,0.4316187968738418,0.4251997300069702
379,64,MLFR,0.43554413385424606,0.43243130628085946
380,64,ORL,0.4494229220528039,0.42770936869598625
381,64,ORR,0.46438631741892267,0.4396683780194855
382,64,SLFL,0.4430644904011046,0.43780512444638153
383,64,SLFR,0.4352551127871225,0.4347300722234404
384,64,UNCL,0.4237728530563908,0.461262547376869
385,64,UNCR,0.42078025329567803,0.4558359378091184
386,64,VOFL,0.4408336523968988,0.4349960001210733
387,64,VOFR,0.4381185402718525,0.4331292989957672
388,64,pAFL,0.43307550981136134,0.4062917279263254
389,64,pAFR,0.4383055481628268,0.40702064158287043
390,67,AFL,0.4505202477623569,0.4035161931971356
391,67,AFR,0.4498608220941798,0.43210154062682826
392,67,ATRL,0.4538210132400698,0.48548096226772885
393,67,ATRR,0.44137322389951156,0.4821133086877599
394,67,CCL,0.4520707304670697,0.3695639529215691
395,67,CCR,0.45459378976097364,0.41720273815212344
396,67,CSL,0.48983629718708194,0.5476513957405278
397,67,CSR,0.4760655198691437,0.5384061707267316
398,67,FcMa,0.45401862794792086,0.43120383592297384
399,67,FcMi,0.4429698889595835,0.3833728284414725
400,67,IFOFL,0.4519062427762951,0.4297931345509598
401,67,IFOFR,0.45374798864103555,0.4556535310112792
402,67,ILFL,0.4464288496911678,0.384193865757268
403,67,ILFR,0.4506122384580927,0.435942080086773
404,67,MLFL,0.44396515495414735,0.3943516207033966
405,67,MLFR,0.4430482166656868,0.44232054209100613
406,67,ORL,0.4662180284167248,0.4108257306881304
407,67,ORR,0.4829716977399927,0.4425492686868373
408,67,SLFL,0.46026706490361785,0.45730057240514
409,67,SLFR,0.4539271211109584,0.44439235360238905
410,67,UNCL,0.4507077901951701,0.4466306546796866
411,67,UNCR,0.4391461406435034,0.4500443394523652
412,67,VOFL,0.45766771705288595,0.43655272516108734
413,67,VOFR,0.4576945834445898,0.4443003052240199
414,67,pAFL,0.4420931298167037,0.38150928218181435
415,67,pAFR,0.4494092848494011,0.4160124696452187
416,69,AFL,0.46304478794296866,0.4577496759235878
417,69,AFR,0.46259201576622744,0.4565887334918574
418,69,ATRL,0.4546030398220678,0.5251584508350043
419,69,ATRR,0.4520067035729398,0.5189435376154674
420,69,CCL,0.457358857860753,0.44957560956661097
421,69,CCR,0.4570573446095078,0.4165087612465072
422,69,CSL,0.4917191472469641,0.5426846429773601
423,69,CSR,0.4869795079492939,0.578309100930562
424,69,FcMa,0.5017740618431864,0.4505656714675244
425,69,FcMi,0.4550584651475931,0.4118265474099819
426,69,IFOFL,0.4680543236061159,0.48436186586849267
427,69,IFOFR,0.4784236649363127,0.4659990931890947
428,69,ILFL,0.46669317622492673,0.4613643028567797
